date,BTC-USD,SPY
2022-12-20,16906.3047,362.965
2022-12-21,16817.5352,368.3921
2022-12-22,16830.3418,363.1366
2022-12-23,16796.9531,365.2255
2022-12-24,16847.7559,
2022-12-25,16841.9863,
2022-12-26,16919.8047,
2022-12-27,16717.1738,363.7852
2022-12-28,16552.5723,359.2641
2022-12-29,16642.3418,365.7309
2022-12-30,16602.5859,364.7676
2022-12-31,16547.4961,
2023-01-01,16625.0801,
2023-01-02,16688.4707,
2023-01-03,16679.8574,363.232
2023-01-04,16863.2383,366.0362
2023-01-05,16836.7363,361.8585
2023-01-06,16951.9688,370.1566
2023-01-07,16955.0781,
2023-01-08,17091.1445,
2023-01-09,17196.5547,369.9469
2023-01-10,17446.293,372.5412
2023-01-11,17934.8965,377.2531
2023-01-12,18869.5879,378.6265
2023-01-13,19909.5742,380.0955
2023-01-14,20976.2988,
2023-01-15,20880.7988,
2023-01-16,21169.6328,
2023-01-17,21161.5195,379.3992
2023-01-18,20688.7812,373.4091
2023-01-19,21086.793,370.6907
2023-01-20,22676.5527,377.5964
2023-01-21,22777.625,
2023-01-22,22720.416,
2023-01-23,22934.4316,382.127
2023-01-24,22636.4688,381.7169
2023-01-25,23117.8594,381.86
2023-01-26,23032.7773,386.0569
2023-01-27,23078.7285,386.9439
2023-01-28,23031.0898,
2023-01-29,23774.5664,
2023-01-30,22840.1387,382.0889
2023-01-31,23139.2832,387.7069
2023-02-01,23723.7695,391.8274
2023-02-02,23471.8711,397.5312
2023-02-03,23449.3223,393.3058
2023-02-04,23331.8477,
2023-02-05,22955.666,
2023-02-06,22760.1094,390.9022
2023-02-07,23264.291,396.0146
2023-02-08,22939.3984,391.6843
2023-02-09,21819.0391,388.2887
2023-02-10,21651.1836,389.1948
2023-02-11,21870.875,
2023-02-12,21788.2031,
2023-02-13,21808.1016,393.7636
2023-02-14,22220.8047,393.5824
2023-02-15,24307.8418,394.8605
2023-02-16,23623.4746,389.4238
2023-02-17,24565.6016,388.4508
2023-02-18,24641.2773,
2023-02-19,24327.6426,
2023-02-20,24829.1484,
2023-02-21,24436.3535,380.6581
2023-02-22,24188.8438,380.1336
2023-02-23,23947.4922,382.1556
2023-02-24,23198.127,378.0734
2023-02-25,23175.375,
2023-02-26,23561.2129,
2023-02-27,23522.8711,379.361
2023-02-28,23147.3535,377.9589
2023-03-01,23646.5508,376.509
2023-03-02,23475.4668,379.4373
2023-03-03,22362.6797,385.5226
2023-03-04,22353.3496,
2023-03-05,22435.5137,
2023-03-06,22429.7578,385.7897
2023-03-07,22219.7695,379.8761
2023-03-08,21718.0801,380.496
2023-03-09,20363.0215,373.476
2023-03-10,20187.2441,368.0869
2023-03-11,20632.4102,
2023-03-12,22163.9492,
2023-03-13,24197.5332,367.5623
2023-03-14,24746.0742,373.6381
2023-03-15,24375.9609,371.3013
2023-03-16,25052.7891,377.8157
2023-03-17,27423.9297,373.3981
2023-03-18,26965.8789,
2023-03-19,28038.6758,
2023-03-20,27767.2363,376.9886
2023-03-21,28175.8164,381.9387
2023-03-22,27307.4375,375.4279
2023-03-23,28333.9727,376.4429
2023-03-24,27493.2852,378.9131
2023-03-25,27494.707,
2023-03-26,27994.3301,
2023-03-27,27139.8887,379.6216
2023-03-28,27268.1309,378.7694
2023-03-29,28348.4414,384.2748
2023-03-30,28033.5625,386.5249
2023-03-31,28478.4844,391.9728
2023-04-01,28411.0352,
2023-04-02,28199.3086,
2023-04-03,27790.2207,393.4664
2023-04-04,28168.0898,391.2835
2023-04-05,28177.9844,390.2589
2023-04-06,28044.1406,391.7813
2023-04-07,27925.8594,
2023-04-08,27947.7949,
2023-04-09,28333.0508,
2023-04-10,29652.9805,392.1834
2023-04-11,30235.0586,392.2887
2023-04-12,30139.0527,390.6898
2023-04-13,30399.0664,395.8792
2023-04-14,30485.6992,394.9122
2023-04-15,30318.4961,
2023-04-16,30315.3555,
2023-04-17,29445.0449,396.3292
2023-04-18,30397.5527,396.5877
2023-04-19,28822.6797,396.5208
2023-04-20,28245.9883,394.3569
2023-04-21,27276.9102,394.6632
2023-04-22,27817.5,
2023-04-23,27591.3848,
2023-04-24,27525.3398,395.0749
2023-04-25,28307.5977,388.8036
2023-04-26,28422.7012,387.1568
2023-04-27,29473.7871,394.8643
2023-04-28,29340.2617,398.2345
2023-04-29,29248.4883,
2023-04-30,29268.8066,
2023-05-01,28091.5684,397.8324
2023-05-02,28680.5371,393.3611
2023-05-03,29006.3086,390.661
2023-05-04,28847.7109,387.894
2023-05-05,29534.3848,395.0749
2023-05-06,28904.623,
2023-05-07,28454.9785,
2023-05-08,27694.2734,395.1802
2023-05-09,27658.7754,393.4472
2023-05-10,27621.7559,395.2856
2023-05-11,27000.7891,394.5963
2023-05-12,26804.9902,394.0792
2023-05-13,26784.0781,
2023-05-14,26930.6387,
2023-05-15,27192.6934,395.4388
2023-05-16,27036.6504,392.7963
2023-05-17,27398.8027,397.5643
2023-05-18,26832.209,401.3941
2023-05-19,26890.1289,400.8101
2023-05-20,27129.5859,
2023-05-21,26753.8262,
2023-05-22,26851.2773,400.9729
2023-05-23,27225.7266,396.4728
2023-05-24,26334.8184,393.6005
2023-05-25,26476.207,397.009
2023-05-26,26719.291,402.1505
2023-05-27,26868.3535,
2023-05-28,28085.6465,
2023-05-29,27745.8848,
2023-05-30,27702.3496,402.3037
2023-05-31,27219.6582,400.0728
2023-06-01,26819.9727,403.874
2023-06-02,27249.5898,409.7145
2023-06-03,27075.1289,
2023-06-04,27119.0664,
2023-06-05,25760.0977,408.9293
2023-06-06,27238.7832,409.8197
2023-06-07,26345.998,408.4026
2023-06-08,26508.2168,410.8729
2023-06-09,26480.375,411.6101
2023-06-10,25851.2402,
2023-06-11,25940.168,
2023-06-12,25902.5,415.3443
2023-06-13,25918.7285,418.0826
2023-06-14,25124.6758,418.5804
2023-06-15,25576.3945,423.7699
2023-06-16,26327.4629,422.3264
2023-06-17,26510.6758,
2023-06-18,26336.2129,
2023-06-19,26851.0293,
2023-06-20,28327.4883,420.1353
